"filename", "language", "TypeScript", "HTML", "CSS", "SCSS", "comment", "blank", "total"
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/user-profile/user-profile.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/user-profile/user-profile.component.ts", "TypeScript", 38, 0, 0, 0, 1, 12, 51
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/environments/environment.prod.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/environments/environment.ts", "TypeScript", 3, 0, 0, 0, 11, 3, 17
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/index.html", "HTML", 0, 17, 0, 0, 0, 1, 18
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/main.ts", "TypeScript", 9, 0, 0, 0, 0, 4, 13
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/polyfills.ts", "TypeScript", 1, 0, 0, 0, 57, 8, 66
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/styles.css", "CSS", 0, 0, 5, 0, 1, 4, 10
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/test.ts", "TypeScript", 18, 0, 0, 0, 4, 4, 26
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/theme.scss", "SCSS", 0, 0, 0, 17, 7, 8, 32
"Total", "-", 1228, 891, 210, 17, 573, 479, 3398
